sid	UMAP-1	UMAP-2
P042-Ctrl-C2-V5	-3.7161384	6.2737036
P043-Case-C0-V1	0.2021467	5.8036814
P043-Case-C0-V2	0.9610657	4.8385944
P043-Case-C0-V3	1.1447104	4.7901278
P043-Case-C0-V4	0.8263407	4.792672
P044-Ctrl-C2-V1	-3.1152236	4.8392463
P044-Ctrl-C2-V3	-3.3675058	4.250936
P044-Ctrl-C2-V4	-3.3145092	4.3228664
P044-Ctrl-C2-V5	-3.2100382	4.248655
P045-Case-C1-V1	0.37439334	3.9589295
P045-Case-C1-V2	0.67533106	3.9639587
P045-Case-C1-V4	0.6818778	4.0064254
P046-Case-C1-V1	0.6184221	2.1461165
P046-Case-C1-V2	0.5777705	2.2030287
P046-Case-C1-V3	0.8366729	2.1149135
P046-Case-C1-V4	0.5598651	2.1712766
P047-Ctrl-C2-V1	-3.1056068	5.776606
P047-Ctrl-C2-V3	-2.8702402	5.554536
P047-Ctrl-C2-V4	-3.3350098	5.6401916
P047-Ctrl-C2-V5	-3.404814	5.53039
P048-Case-C1-V1	1.0692604	4.503967
P048-Case-C1-V2	1.7301307	2.537715
P048-Case-C1-V3	-0.024769386	3.2735302
P048-Case-C1-V4	0.72244006	4.8527555
P049-Ctrl-C0-V3	-0.99248075	7.228035
P049-Ctrl-C2-V1	-3.4851637	6.058327
P049-Ctrl-C2-V4	-3.1647198	6.1894417
P049-Ctrl-C2-V5	-1.83231	5.954392
P050-Case-C0-V2	-0.014449107	7.7289166
P050-Case-C0-V3	1.0950063	7.799613
P050-Case-C0-V4	0.027355373	6.1980877
P050-Case-C2-V1	-1.9751894	4.601068
P051-Ctrl-C0-V5	-0.87251824	6.25683
P051-Ctrl-C2-V1	-2.4422452	3.6263804
P051-Ctrl-C2-V3	-2.2225418	3.6139133
P051-Ctrl-C2-V4	-3.0262136	3.9320352
P052-Case-C0-V2	0.10586515	7.61634
P052-Case-C0-V3	-0.15625109	7.6034946
P052-Case-C0-V4	1.1642108	7.5718265
P052-Case-C2-V1	-2.7404969	5.449941
P053-Ctrl-C2-V1	-1.7082597	5.251735
P053-Ctrl-C2-V3	-4.0667205	5.9995756
P053-Ctrl-C2-V4	-3.9393923	5.9242277
P053-Ctrl-C2-V5	-3.7918274	6.4859014
P054-Case-C0-V1	1.5973417	7.5350966
P054-Case-C0-V2	1.2298682	7.972
P054-Case-C0-V3	1.4676311	8.016286
P054-Case-C0-V4	-1.2881912	7.2374144
P055-Case-C0-V1	1.4914336	7.7913814
P055-Case-C0-V2	-0.36945823	7.314109
P055-Case-C0-V3	0.910752	7.541491
P055-Case-C0-V4	1.2873713	7.504846
P056-Case-C0-V1	0.2663162	5.562159
P056-Case-C0-V2	0.13057777	4.9316897
P056-Case-C0-V3	0.27099463	5.103769
P056-Case-C0-V4	-0.0317852	4.9730988
P057-Ctrl-C2-V1	-4.6254177	4.998794
P057-Ctrl-C2-V3	-4.3134866	4.8988595
P058-Ctrl-C2-V1	-3.0088112	5.706992
P058-Ctrl-C2-V5	-3.106406	5.899542
P059-Case-C1-V1	1.1597452	3.8967664
P059-Case-C1-V2	0.9703046	3.8916855
P059-Case-C1-V3	0.04947791	3.436831
P059-Case-C1-V4	1.7801502	2.57908
P060-Case-C0-V2	-0.14365424	7.23026
P060-Case-C0-V3	1.1016085	7.5525756
P060-Case-C0-V4	1.2427086	7.567786
P060-Case-C2-V1	-2.113743	4.5991087
P061-Ctrl-C2-V1	-4.035529	5.466179
P061-Ctrl-C2-V3	-4.835616	5.2458634
P062-Case-C0-V2	-0.4573047	5.850533
P062-Case-C0-V3	-1.1064298	7.148221
P062-Case-C0-V4	-0.772113	7.4131618
P062-Case-C2-V1	-1.949592	6.1508656
P063-Case-C1-V2	1.7381392	2.3617296
P063-Case-C1-V3	1.4671245	2.6597476
P063-Case-C1-V4	1.5339404	3.389788
P064-Case-C0-V1	1.2011815	6.4405966
P064-Case-C0-V2	0.9339093	7.244237
P064-Case-C0-V3	1.1048728	5.581121
P064-Case-C0-V4	1.3827842	5.8220344
P065-Ctrl-C0-V3	-1.1841278	5.522577
P065-Ctrl-C2-V1	-3.282661	4.8966036
P065-Ctrl-C2-V4	-3.0555475	5.1205187
P065-Ctrl-C2-V5	-3.7252598	4.8864245
P066-Case-C0-V1	-0.74496895	6.5568485
P066-Case-C0-V2	-0.29506856	7.0320435
P066-Case-C0-V3	-0.25546712	7.210524
P066-Case-C0-V4	-0.06491605	5.384329
P067-Ctrl-C2-V1	-4.4528966	5.283616
P067-Ctrl-C2-V3	-3.9157927	5.4171867
P068-Case-C1-V1	0.13386902	2.9038923
P068-Case-C1-V2	0.4848242	3.0990906
P068-Case-C1-V3	0.35306665	3.1689136
P068-Case-C1-V4	0.7345023	2.9977183
P069-Case-C0-V1	1.0829072	6.244396
P069-Case-C0-V2	1.083962	6.1086893
P069-Case-C0-V4	0.9763459	6.1243806
P070-Ctrl-C2-V1	-3.5047202	3.6511524
P070-Ctrl-C2-V3	-3.4442432	3.6554077
P070-Ctrl-C2-V4	-3.5111017	3.6196399
P070-Ctrl-C2-V5	-3.5059052	3.6628044
